Student ID,Age,Gender,Question ID,Topic,Difficulty Level,Question Text,Correct Answer,Response,Correct,Response Time (s),Confidence Level,Total Questions Answered,Accuracy (%),Average Response Time (s),Knowledge Gaps,Next Question Difficulty,Suggested Study Topics,Personalized Study Plan
1042,15,Male,Q46,Geography,Hard,What is the capital of France?,Paris,Paris,1,30,1,16,82,15,Physics,Hard,Science,Focus on practice questions
1043,16,Female,Q17,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,19,3,6,80,14,Physics,Hard,Chemistry,Understand mathematical formulas
1044,18,Female,Q10,History,Easy,Who was the first President of the United States?,George Washington,George Washington,1,29,4,11,83,11,Math,Hard,Chemistry,Learn about historical events
1045,16,Female,Q69,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,18,2,11,71,14,Algebra,Hard,Biology,Understand mathematical formulas
1046,17,Male,Q54,History,Hard,Who was the first President of the United States?,George Washington,Incorrect,0,13,1,11,93,14,Physics,Hard,Biology,Learn about historical events
1047,16,Female,Q40,Technology,Easy,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,16,4,11,84,13,Science,Medium,Biology,Learn about historical events
1048,15,Male,Q94,Science,Hard,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,21,1,14,79,12,Algebra,Medium,Literature,Study major scientific concepts
1049,16,Female,Q72,Mathematics,Hard,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,7,2,8,83,12,Algebra,Easy,Math,Understand mathematical formulas
1050,18,Male,Q16,Literature,Medium,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,29,1,24,83,9,Math,Hard,Biology,Study major scientific concepts
1051,18,Female,Q80,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,9,1,23,93,12,Algebra,Easy,Literature,Study major scientific concepts
1052,18,Male,Q76,History,Easy,Who was the first President of the United States?,George Washington,Incorrect,0,25,4,19,91,18,Math,Medium,Biology,Understand mathematical formulas
1053,15,Female,Q40,History,Easy,Who was the first President of the United States?,George Washington,George Washington,1,13,3,10,78,18,Algebra,Medium,Math,Study major scientific concepts
1054,17,Male,Q76,Mathematics,Hard,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,21,1,5,87,11,Geography,Medium,Chemistry,Understand mathematical formulas
1055,15,Female,Q54,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,29,3,9,75,11,Math,Hard,Literature,Learn about historical events
1056,15,Female,Q53,General Knowledge,Medium,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,17,4,9,87,13,Physics,Easy,Science,Learn about historical events
1057,15,Male,Q50,General Knowledge,Medium,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,13,1,17,75,17,Geography,Hard,Physics,Focus on practice questions
1058,18,Female,Q78,Science,Hard,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,26,5,19,74,9,Algebra,Hard,Math,Learn about historical events
1059,17,Female,Q58,Mathematics,Hard,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,15,5,7,77,13,Biology,Easy,History,Focus on practice questions
1060,17,Female,Q68,Geography,Hard,What is the capital of France?,Paris,Paris,1,7,2,5,89,9,Algebra,Easy,Chemistry,Learn about historical events
1061,17,Female,Q24,Mathematics,Medium,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,30,1,24,95,10,Chemistry,Medium,Algebra,Review fundamental principles
1062,17,Male,Q81,Geography,Medium,What is the capital of France?,Paris,Paris,1,27,1,19,75,19,Literature,Easy,Algebra,Study major scientific concepts
1063,16,Male,Q83,Mathematics,Medium,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,29,5,6,95,19,History,Easy,Physics,Learn about historical events
1064,17,Female,Q2,Science,Hard,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,12,3,18,91,14,History,Hard,Literature,Focus on practice questions
1065,16,Female,Q36,General Knowledge,Easy,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,29,5,10,70,8,Literature,Easy,Geography,Understand mathematical formulas
1066,17,Male,Q28,General Knowledge,Medium,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,24,3,21,93,13,Biology,Medium,Literature,Study major scientific concepts
1067,15,Female,Q20,Mathematics,Easy,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,11,2,23,94,9,Math,Easy,Geography,Understand mathematical formulas
1068,17,Female,Q14,Mathematics,Medium,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,24,2,11,76,13,Biology,Easy,Chemistry,Understand mathematical formulas
1069,18,Male,Q86,General Knowledge,Easy,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,20,4,12,95,16,Math,Easy,Algebra,Focus on practice questions
1070,15,Female,Q74,Literature,Medium,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,26,3,15,86,17,Chemistry,Easy,Geography,Review fundamental principles
1071,16,Male,Q90,History,Easy,Who was the first President of the United States?,George Washington,George Washington,1,20,2,6,83,20,History,Easy,Chemistry,Learn about historical events
1072,16,Female,Q77,Mathematics,Easy,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,8,5,7,82,19,Math,Hard,Chemistry,Learn about historical events
1073,15,Female,Q30,Literature,Easy,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,29,2,16,82,19,Biology,Hard,Algebra,Review fundamental principles
1074,18,Male,Q13,Literature,Medium,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,23,3,20,73,15,Biology,Hard,Literature,Focus on practice questions
1075,16,Female,Q44,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,16,5,25,73,8,Geography,Medium,Math,Understand mathematical formulas
1076,17,Male,Q50,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,18,1,24,92,12,Literature,Easy,Math,Review fundamental principles
1077,15,Male,Q44,Geography,Easy,What is the capital of France?,Paris,Paris,1,10,3,16,92,11,Algebra,Medium,Chemistry,Study major scientific concepts
1078,18,Female,Q32,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,27,5,16,76,16,Math,Easy,Geography,Understand mathematical formulas
1079,17,Male,Q14,Literature,Medium,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,6,4,5,95,13,History,Easy,Algebra,Learn about historical events
1080,18,Male,Q58,Mathematics,Medium,What is the sum of the angles in a triangle?,180 degrees,Incorrect,0,11,1,5,87,20,Algebra,Easy,Geography,Understand mathematical formulas
1081,18,Female,Q72,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,12,3,23,80,20,Math,Hard,Chemistry,Learn about historical events
1082,16,Male,Q65,Technology,Medium,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,12,2,12,74,10,History,Easy,History,Focus on practice questions
1083,15,Female,Q99,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,18,4,21,85,9,Literature,Hard,Literature,Study major scientific concepts
1084,18,Female,Q99,History,Easy,Who was the first President of the United States?,George Washington,George Washington,1,24,3,18,74,20,Chemistry,Medium,Literature,Understand mathematical formulas
1085,17,Male,Q38,Geography,Easy,What is the capital of France?,Paris,Paris,1,7,5,22,94,18,History,Hard,Science,Understand mathematical formulas
1086,15,Male,Q90,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,23,1,14,81,20,Science,Hard,Math,Understand mathematical formulas
1087,18,Male,Q90,History,Medium,Who was the first President of the United States?,George Washington,George Washington,1,25,1,24,76,14,Literature,Hard,Biology,Review fundamental principles
1088,18,Male,Q85,Technology,Medium,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,29,3,25,71,10,Chemistry,Medium,Physics,Review fundamental principles
1089,15,Female,Q7,Technology,Medium,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,27,1,25,92,12,Science,Easy,Literature,Focus on practice questions
1090,16,Female,Q15,Mathematics,Medium,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,27,1,21,79,17,Algebra,Medium,History,Understand mathematical formulas
1091,18,Female,Q68,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,8,2,6,71,20,Algebra,Easy,Biology,Study major scientific concepts
1092,15,Female,Q55,Geography,Medium,What is the capital of France?,Paris,Paris,1,23,4,10,84,10,Math,Hard,Science,Understand mathematical formulas
1093,18,Male,Q19,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,25,4,14,70,15,Math,Hard,Math,Understand mathematical formulas
1094,16,Female,Q81,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,14,2,14,80,12,Math,Medium,Literature,Review fundamental principles
1095,15,Female,Q91,Literature,Hard,Who wrote 'Romeo and Juliet'?,William Shakespeare,Incorrect,0,5,3,12,75,16,Physics,Medium,Chemistry,Study major scientific concepts
1096,18,Male,Q34,Science,Hard,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,18,1,8,77,16,Algebra,Hard,Algebra,Learn about historical events
1097,15,Female,Q69,Mathematics,Medium,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,12,4,9,84,13,Geography,Easy,Chemistry,Learn about historical events
1098,18,Female,Q62,Literature,Medium,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,15,3,5,78,18,Geography,Hard,Chemistry,Focus on practice questions
1099,16,Male,Q76,Mathematics,Hard,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,14,1,5,80,20,Chemistry,Easy,Chemistry,Learn about historical events
1100,18,Male,Q69,Science,Medium,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,15,2,11,85,18,Geography,Medium,Physics,Study major scientific concepts
1101,18,Male,Q95,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,21,4,9,75,18,Physics,Hard,Science,Study major scientific concepts
1102,18,Male,Q61,Geography,Medium,What is the capital of France?,Paris,Incorrect,0,23,4,17,77,11,Physics,Easy,Biology,Focus on practice questions
1103,17,Female,Q29,Geography,Medium,What is the capital of France?,Paris,Paris,1,8,3,21,72,19,Biology,Easy,Physics,Learn about historical events
1104,17,Male,Q90,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,26,2,9,80,15,Math,Hard,History,Learn about historical events
1105,18,Male,Q94,Geography,Easy,What is the capital of France?,Paris,Paris,1,12,1,11,81,9,Biology,Hard,Science,Review fundamental principles
1106,16,Female,Q63,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Incorrect,0,15,2,12,85,17,Chemistry,Hard,Geography,Study major scientific concepts
1107,16,Female,Q42,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,17,4,8,79,12,Algebra,Hard,Geography,Review fundamental principles
1108,15,Male,Q67,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,7,4,21,71,13,Physics,Hard,Math,Study major scientific concepts
1109,15,Female,Q48,Technology,Medium,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,29,1,18,84,17,Biology,Hard,Algebra,Review fundamental principles
1110,15,Female,Q21,History,Easy,Who was the first President of the United States?,George Washington,George Washington,1,18,3,12,75,8,History,Medium,Chemistry,Focus on practice questions
1111,15,Male,Q75,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,8,2,9,71,10,Physics,Medium,Literature,Learn about historical events
1112,16,Female,Q15,Mathematics,Easy,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,5,5,12,71,9,Algebra,Easy,History,Focus on practice questions
1113,17,Female,Q82,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,14,2,5,76,17,History,Medium,Literature,Study major scientific concepts
1114,18,Male,Q68,History,Easy,Who was the first President of the United States?,George Washington,George Washington,1,9,4,16,75,14,Biology,Easy,Geography,Review fundamental principles
1115,15,Female,Q71,Geography,Medium,What is the capital of France?,Paris,Paris,1,19,1,17,71,19,Math,Hard,Science,Learn about historical events
1116,18,Male,Q66,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,7,5,9,88,15,Geography,Hard,Geography,Understand mathematical formulas
1117,18,Male,Q68,General Knowledge,Easy,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,16,5,6,78,20,Math,Medium,Physics,Study major scientific concepts
1118,15,Female,Q30,Technology,Medium,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,15,3,22,74,15,Science,Hard,Chemistry,Review fundamental principles
1119,17,Male,Q61,Geography,Easy,What is the capital of France?,Paris,Paris,1,21,2,25,92,13,Biology,Hard,Geography,Understand mathematical formulas
1120,17,Male,Q79,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,24,3,21,94,8,History,Medium,Chemistry,Understand mathematical formulas
1121,18,Female,Q86,Mathematics,Hard,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,5,2,15,71,9,Literature,Hard,Algebra,Review fundamental principles
1122,16,Male,Q56,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,7,1,10,95,11,Literature,Hard,Biology,Study major scientific concepts
1123,17,Female,Q52,Science,Hard,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,28,4,10,93,20,Biology,Hard,Math,Understand mathematical formulas
1124,18,Male,Q58,Geography,Hard,What is the capital of France?,Paris,Paris,1,29,1,10,71,14,Geography,Easy,Physics,Study major scientific concepts
1125,18,Female,Q60,Geography,Medium,What is the capital of France?,Paris,Incorrect,0,26,1,14,85,16,Physics,Easy,Geography,Study major scientific concepts
1126,16,Female,Q31,General Knowledge,Medium,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,16,3,20,90,9,History,Medium,Algebra,Review fundamental principles
1127,16,Male,Q62,General Knowledge,Medium,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,27,2,10,92,18,History,Medium,History,Understand mathematical formulas
1128,16,Female,Q85,Mathematics,Medium,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,22,5,24,80,20,Chemistry,Medium,Algebra,Study major scientific concepts
1129,18,Male,Q52,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,7,5,23,77,17,Geography,Easy,Geography,Focus on practice questions
1130,16,Male,Q80,Science,Medium,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,9,3,17,87,16,History,Hard,History,Understand mathematical formulas
1131,18,Male,Q75,General Knowledge,Hard,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,17,2,21,95,19,Biology,Hard,Biology,Study major scientific concepts
1132,15,Male,Q42,Technology,Easy,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,22,3,7,92,14,Physics,Hard,Math,Understand mathematical formulas
1133,16,Female,Q52,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,28,3,18,81,16,History,Hard,Literature,Focus on practice questions
1134,16,Male,Q91,Science,Hard,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,11,2,19,77,17,History,Easy,Algebra,Study major scientific concepts
1135,16,Male,Q73,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,7,1,5,74,15,Math,Easy,Geography,Learn about historical events
1136,16,Female,Q86,Geography,Hard,What is the capital of France?,Paris,Paris,1,15,3,16,89,13,Science,Easy,Geography,Understand mathematical formulas
1137,15,Male,Q85,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,5,3,12,77,18,Literature,Medium,Physics,Understand mathematical formulas
1138,18,Female,Q60,Geography,Hard,What is the capital of France?,Paris,Paris,1,15,1,15,83,18,Chemistry,Easy,Chemistry,Study major scientific concepts
1139,17,Female,Q69,Mathematics,Easy,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,12,5,13,84,14,Science,Medium,Literature,Study major scientific concepts
1140,15,Male,Q51,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,12,3,8,89,9,Literature,Hard,Algebra,Learn about historical events
1141,18,Female,Q39,General Knowledge,Medium,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,10,3,5,87,20,Algebra,Hard,Science,Understand mathematical formulas
1142,16,Female,Q70,History,Medium,Who was the first President of the United States?,George Washington,George Washington,1,29,4,9,93,8,Literature,Medium,Physics,Learn about historical events
1143,17,Male,Q90,Geography,Medium,What is the capital of France?,Paris,Paris,1,5,4,10,76,12,Science,Medium,Literature,Study major scientific concepts
1144,15,Male,Q61,Science,Medium,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,19,1,5,76,13,Geography,Easy,Geography,Review fundamental principles
1145,18,Female,Q11,Technology,Medium,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,30,4,21,73,19,Algebra,Medium,Geography,Study major scientific concepts
1146,17,Female,Q94,Literature,Easy,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,20,5,24,87,19,Chemistry,Hard,Geography,Learn about historical events
1147,17,Male,Q88,Geography,Medium,What is the capital of France?,Paris,Paris,1,5,4,8,84,11,Algebra,Medium,Chemistry,Review fundamental principles
1148,15,Male,Q28,Science,Hard,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,6,2,18,81,17,Math,Hard,Math,Study major scientific concepts
1149,15,Female,Q46,History,Medium,Who was the first President of the United States?,George Washington,George Washington,1,18,3,17,72,8,Literature,Medium,Science,Understand mathematical formulas
1150,15,Female,Q3,General Knowledge,Easy,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,15,1,8,70,17,Biology,Easy,History,Learn about historical events
1151,18,Female,Q6,Technology,Medium,Who is the founder of Microsoft?,Bill Gates,Incorrect,0,11,5,8,86,12,Geography,Hard,Science,Study major scientific concepts
1152,15,Male,Q16,Geography,Easy,What is the capital of France?,Paris,Paris,1,9,1,9,86,14,Biology,Hard,Biology,Focus on practice questions
1153,18,Male,Q11,Literature,Easy,Who wrote 'Romeo and Juliet'?,William Shakespeare,Incorrect,0,13,1,7,76,10,Algebra,Easy,History,Review fundamental principles
1154,17,Male,Q49,History,Medium,Who was the first President of the United States?,George Washington,George Washington,1,27,4,16,91,8,Physics,Hard,Math,Learn about historical events
1155,18,Male,Q27,Literature,Hard,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,30,1,21,82,16,Math,Easy,Physics,Focus on practice questions
1156,16,Female,Q88,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,22,5,18,85,19,Literature,Hard,Geography,Understand mathematical formulas
1157,17,Female,Q16,Mathematics,Hard,What is the sum of the angles in a triangle?,180 degrees,180 degrees,1,11,4,25,88,19,Geography,Hard,Literature,Review fundamental principles
1158,15,Female,Q69,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,13,5,22,88,12,Math,Hard,Biology,Learn about historical events
1159,16,Male,Q90,History,Medium,Who was the first President of the United States?,George Washington,George Washington,1,28,2,22,93,9,Chemistry,Medium,Algebra,Study major scientific concepts
1160,16,Female,Q47,General Knowledge,Easy,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,28,1,15,92,11,Biology,Medium,Math,Study major scientific concepts
1161,16,Female,Q83,Geography,Hard,What is the capital of France?,Paris,Paris,1,30,1,24,70,17,Science,Hard,Physics,Understand mathematical formulas
1162,17,Female,Q72,Literature,Medium,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,16,1,21,91,14,Chemistry,Medium,Math,Focus on practice questions
1163,16,Female,Q49,Science,Easy,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,23,5,18,89,20,History,Medium,History,Focus on practice questions
1164,16,Male,Q88,Literature,Medium,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,23,1,14,90,18,Geography,Hard,Geography,Study major scientific concepts
1165,16,Male,Q86,Literature,Easy,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,7,2,23,77,14,Math,Medium,Geography,Understand mathematical formulas
1166,18,Female,Q53,General Knowledge,Medium,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,19,3,14,82,16,History,Medium,Literature,Study major scientific concepts
1167,18,Female,Q77,Science,Medium,What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,19,4,11,90,10,Math,Medium,Biology,Review fundamental principles
1168,15,Male,Q90,General Knowledge,Medium,Which is the largest planet in our solar system?,Jupiter,Jupiter,1,24,1,9,80,8,Math,Easy,Geography,Focus on practice questions
1169,17,Female,Q46,History,Hard,Who was the first President of the United States?,George Washington,George Washington,1,17,5,6,74,16,Physics,Medium,Biology,Review fundamental principles
1170,16,Male,Q45,Technology,Hard,Who is the founder of Microsoft?,Bill Gates,Bill Gates,1,23,1,11,82,20,Literature,Easy,Biology,Review fundamental principles
